index,mixture,binding
1,'-G,1.267875
1,'-G,2.128275
1,'-G,2.090143
1,'-G,2.825674
1,'-G,2.94268
1,'-G,1.290642
2,Unmodfied,0.923299
2,Unmodfied,0.491438
2,Unmodfied,0.710203
2,Unmodfied,1.934495
2,Unmodfied,1.81566
2,Unmodfied,2.252291
2,Unmodfied,1.039125
2,Unmodfied,0.896397
2,Unmodfied,1.087508
2,Unmodfied,1.031687
2,Unmodfied,1.004417
3,'+G,0.607718
3,'+G,2.16866
3,'+G,1.037374
3,'+G,1.698764
3,'+G,1.288836
3,'+G,1.063876
4,'+G+S,0.996347
4,'+G+S,1.137369
4,'+G+S,1.019768
5,'+G+S+ivs,1.161967
5,'+G+S+ivs,1.579454
5,'+G+S+ivs,1.259058
5,'+G+S+ivs,2.002586
5,'+G+S+ivs,0.895061
6,'+B-G,0.642279
6,'+B-G,2.150166
6,'+B-G,1.91433
6,'+B-G,4.845805
7,'+B,2.168956
7,'+B,2.102291
7,'+B,2.258136
7,'+B,1.734694
7,'+B,1.121438
8,'+B+G,1.857114
8,'+B+G,3.268315
8,'+B+G,1.910205
9,'+B+G+S,0.958002
9,'+B+G+S,0.630225
9,'+B+G+S,1.188611
9,'+B+G+S,1.836566
9,'+B+G+S,4.325865
9,'+B+G+S,1.409598
9,'+B+G+S,0.70449
10,'+B+G+S+ivs,0.646393
10,'+B+G+S+ivs,1.007029
10,'+B+G+S+ivs,1.320287
10,'+B+G+S+ivs,1.583151
10,'+B+G+S+ivs,1.282871
11,'-F-G,3.25483
11,'-F-G,2.4171
11,'-F-G,2.008212
11,'-F-G,3.251808
11,'-F-G,0.865802
12,'-F,1.413432
12,'-F,1.733005
12,'-F,1.492425
12,'-F,1.004773
13,'-F+G,0.871565
13,'-F+G,1.303279
13,'-F+G,1.221299
13,'-F+G,0.59715
14,'-F+G+S,1.801876
14,'-F+G+S,0.989843
14,'-F+G+S,1.143428
14,'-F+G+S,1.390498
14,'-F+G+S,0.568862
15,'-F+G+S+ivs,0.824408
15,'-F+G+S+ivs,1.305536
15,'-F+G+S+ivs,1.571701
15,'-F+G+S+ivs,1.453063
16,'-F+B-G,1.247491
16,'-F+B-G,1.126815
16,'-F+B-G,1.004773
17,'-F+B,1.889291
17,'-F+B,1.611461
17,'-F+B,1.452377
18,'-F+B+G,1.604162
18,'-F+B+G,1.388312
18,'-F+B+G,1.324657
19,'-F+B+G+S,3.313093
19,'-F+B+G+S,1.495689
19,'-F+B+G+S,1.038053
19,'-F+B+G+S,1.630841
19,'-F+B+G+S,0.711296
19,'-F+B+G+S,1.762467
19,'-F+B+G+S,1.634955
19,'-F+B+G+S,2.355303
20,'-F+B+G+S+ivs,1.00696
20,'-F+B+G+S+ivs,1.578875
20,'-F+B+G+S+ivs,1.230888
20,'-F+B+G+S+ivs,0.759273
