mixture,binding
1,2.105424
1,2.180977
1,2.331709
1,1.435449
2,0.872594
2,1.170972
3,2.43558
3,0.664272
3,1.180737
3,1.709383
4,1.488318
4,4.185457
4,4.167916
4,3.139363
4,2.947123
4,1.147725
5,0.74897
5,0.475807
5,0.861134
5,1.394117
6,1.061259
6,2.019979
6,1.351513
6,4.313463
6,7.877536
6,1.774538
7,1.309806
7,1.986133
7,1.055603
7,1.678598
8,1.953816
8,2.110118
8,4.090269
8,1.121363
9,0.792318
9,0.993651
9,2.211341
9,1.605125
10,0.566374
10,0.691762
10,0.485588
10,1.12941
11,15.70782
11,12.36409
11,9.697834
11,4.895061
12,14.12014
12,14.04844
12,19.11358
13,14.64058
13,11.15137
13,11.57028
14,11.90239
14,11.74811
14,14.34203
14,8.531639
14,7.309658
15,11.48778
15,9.495535
15,11.52108
15,8.811356
16,12.50837
16,13.48548
17,18.74715
17,20.17513
18,15.56906
18,15.6146
18,12.93682
18,12.24185
19,11.05273
19,8.247408
19,10.41518
19,7.302342
19,5.686327
20,9.132769
20,11.3259
20,7.483456
