mixture,binding
1,1.682392
1,1.338557
1,1.776517
1,2.740312
1,1.95072
1,2.329092
1,2.347059
1,1.256939
1,1.727869
2,1.263604
2,0.770563
2,0.55371
2,0.870477
2,0.758442
2,1.043602
2,1.482779
2,1.592037
2,1.753552
2,1.239856
2,0.933256
2,0.927781
2,1.065279
2,1.096587
3,1.276081
3,0.928768
3,1.096201
3,2.823055
3,1.498567
3,1.640381
3,2.117049
3,2.034249
4,1.579342
4,1.47747
4,1.511892
5,1.12812
5,1.881835
5,1.768289
5,2.395405
5,1.401151
5,2.211469
5,1.768511
5,1.556159
6,1.621648
6,2.805458
6,2.286529
6,3.390528
6,1.874509
6,2.898525
6,2.662309
6,1.562938
7,1.416348
7,1.419592
7,1.440371
7,2.837948
7,1.835966
7,1.668504
7,1.610952
7,1.926038
8,3.42924
8,1.265554
8,3.493899
8,1.937698
8,1.986357
8,1.201356
9,0.918603
9,1.044321
9,1.561963
9,1.387879
9,1.376741
9,2.279886
9,2.820102
9,1.244935
9,1.65287
10,1.134574
10,1.44823
10,1.281608
10,1.605377
10,1.505888
10,1.517572
10,1.598399
11,9.576408
11,11.49788
11,13.88551
11,13.38483
11,10.32388
11,5.553144
12,23.21561
12,24.26554
12,22.68199
12,16.09997
13,20.68058
13,19.81456
13,29.55078
13,24.71538
13,30.10312
13,27.84931
13,19.49709
13,17.85045
14,18.40483
14,11.87594
14,23.28812
14,40.86164
14,18.87361
14,21.1793
14,17.77492
14,16.87259
15,5.45922
15,23.50314
15,26.11491
15,24.19289
15,21.13477
15,14.31915
16,17.98352
16,16.82991
16,16.09997
17,26.87904
17,24.02597
17,23.75853
18,33.90617
18,29.729
18,30.63782
19,13.28665
19,15.96366
19,28.50117
19,29.30577
19,16.95621
19,18.61118
19,18.73395
19,29.67876
19,31.00998
19,42.82603
20,9.829262
20,20.82154
20,21.95585
20,16.0522
20,15.79644
20,15.40531
