'-G,Unmodfied,'+G,'+G+S,'+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-F-G,'-F,'-F+G,'-F+G+S,'-F+G+S+ivs,'-F+B-G,'-F+B,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs
,,,,1.778899,0.858544,,,,,0.561287,,,,,,,,,
0.971604,0.775981,0.833821,,1.542747,,1.279038,2.152303,0.919073,0.703923,,,0.962358,,0.629047,,,,,0.583248
1.060966,0.561392,1.239113,,,1.123749,1.568403,1.343964,1.011233,0.808113,1.192697,,0.849932,0.728012,,,,,1.377307,
,,,,1.229092,,,,,,1.153453,,0.756953,,0.668165,,,,,0.73761
1.262621,1.009631,1.629643,,1.553357,1.225506,1.627571,1.85651,0.708592,0.781859,,,0.84044,0.958501,0.818347,,,,1.009926,0.950343
1.332216,,1.179634,,1.299781,1.040753,1.551494,1.523317,1.094447,1.000389,0.952805,,,0.802544,1.017686,,,,0.758137,0.884447
1.615745,0.896019,1.35783,,1.977022,1.781729,1.496391,,1.795654,1.29456,1.161361,,0.876346,1.063228,,,,,1.052926,
1.715665,,,,,1.841923,,2.122987,2.71298,1.29806,,,0.732552,,,,,,,
,0.836885,,,,,,,,,,,,0.580064,,,,,,
,1.456355,1.393859,,,,,,0.973867,,,,,,0.745831,,,,,0.652311
0.622471,1.512179,1.350862,,0.948413,0.570993,0.87545,0.612737,,,0.411464,,,,,,,,0.791913,
1.072466,1.892902,,,1.232976,,1.265693,,,0.941818,,,0.646591,0.560465,,,,,1.174451,
,1.329128,,,,,,,0.946051,,,0.999254,,,,,0.924361,,1.108395,
,,,,,,,,,,,0.931948,,,,,0.926563,,1.40392,
,,,1.523124,,,,,,,,1.000706,,,,0.599632,0.828343,0.989682,,
,,,1.344451,,,,,,,,0.568387,,,,0.625409,,0.959342,,
,,,1.201742,,,,,,,,,,,,0.568387,,0.833231,,
,1.012957,,,,,,,,,,,,,,,,,,
,0.965169,,,,,,,,,,,,,,,,,,
,1.101477,,,,,,,,,,,,,,,,,,
,0.935602,,,,,,,,,,,,,,,,,,
