'-G,Unmodfied,'+G,'+G+S,'+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-F-G,'-F,'-F+G,'-F+G+S,'-F+G+S+ivs,'-F+B-G,'-F+B,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs
,,,,1.404242,1.539918,,,0.735556,,15.02953,,10.35673,13.13038,,,,,18.6034,7.639091
1.640886,,0.892515,1.164302,1.569797,5.19194,1.701731,3.349711,0.767316,0.72355,,10.55829,13.81434,,9.038678,,,21.27832,11.64464,7.579827
1.499139,,1.077075,,,2.545979,1.853485,1.345946,1.444035,1.76931,11.39532,,12.43678,9.238748,,,,31.12433,16.25231,
,,,0.975833,,,,,,,13.34091,13.1973,10.86775,,,,,16.53051,,
,,,,1.645756,2.548966,2.15251,3.392792,1.037707,,,,13.02846,13.99325,11.21687,,,28.2039,12.97378,11.24788
1.966164,,1.747888,3.274104,1.27019,2.116644,2.138317,2.759213,1.515494,1.141279,10.80714,16.01595,,11.91892,13.53437,,,,9.493744,9.826394
2.376084,,1.341192,5.817166,2.199255,5.026498,2.403126,,2.120828,1.545703,12.18597,13.47046,12.87679,15.82393,,,,18.70801,12.16755,
2.732456,,,6.466197,,5.138244,,4.46872,3.696718,1.529219,,,12.66875,,,,,17.77907,,
,,,5.486535,,,,,,,,,,10.11764,,,,15.95711,,
,,5.148571,3.970956,,,,,0.859848,,,,,,12.77637,,,,,
3.392851,,3.052367,,3.409859,2.622414,4.042969,2.33231,,,6.71848,,,,,,,12.92387,16.40063,
2.985204,,,,2.612225,,3.699228,,,2.010343,,,10.80906,10.21803,,,,,9.951464,
,,,3.376145,,,,,1.41444,,,,,,,,,,8.44649,
,,,,,,,,,,,,,,,,,13.07842,,
,,2.42E-07,0.634595,,,,,,,,,,,,,,,,
,,,0.491202,,,,,,,,,,,,,,,,
,,,0.500292,,,,,,,,,,,,,,,,
,0.981715,,,,,,,,,,,,,,10.64813,16.64745,,,
,0.969224,,,,,,,,,,,,,,10.64727,16.52971,,,
,1.053052,,,,,,,,,,,,,,9.970214,18.14801,,,
