index,mixture,binding
1,'-G,1.84295
1,'-G,2.945609
1,'-G,2.64692
1,'-G,2.814787
1,'-G,3.637455
1,'-G,3.684003
1,'-G,2.353179
1,'-G,3.567565
2,Unmodfied,0.731651
2,Unmodfied,0.452188
2,Unmodfied,0.90378
2,Unmodfied,1.129226
2,Unmodfied,1.470468
2,Unmodfied,1.727078
2,Unmodfied,2.305868
2,Unmodfied,1.356876
2,Unmodfied,1.25339
2,Unmodfied,0.932516
2,Unmodfied,1.003563
2,Unmodfied,0.882343
3,'+G,1.805295
3,'+G,2.728415
3,'+G,1.83734
3,'+G,2.15178
3,'+G,3.163213
3,'+G,2.937161
4,'+G+S,1.707023
4,'+G+S,1.51571
4,'+G+S,1.286005
5,'+G+S+ivs,2.16998
5,'+G+S+ivs,2.829085
5,'+G+S+ivs,1.812073
5,'+G+S+ivs,2.33124
5,'+G+S+ivs,1.961188
5,'+G+S+ivs,2.64732
5,'+G+S+ivs,3.057509
6,'+B-G,2.446657
6,'+B-G,3.350257
6,'+B-G,2.962326
6,'+B-G,5.467624
6,'+B-G,5.312713
6,'+B-G,2.481165
7,'+B,5.55874
7,'+B,2.459755
7,'+B,2.760793
7,'+B,2.740837
7,'+B,2.540608
7,'+B,2.492233
7,'+B,3.763398
8,'+B+G,5.170468
8,'+B+G,1.803431
8,'+B+G,3.332598
8,'+B+G,3.352195
8,'+B+G,4.719027
8,'+B+G,1.888229
9,'+B+G+S,1.234684
9,'+B+G+S,1.578549
9,'+B+G+S,2.2033
9,'+B+G+S,1.885136
9,'+B+G+S,2.343188
9,'+B+G+S,3.371821
9,'+B+G+S,4.508223
9,'+B+G+S,1.574268
9,'+B+G+S,2.839829
10,'+B+G+S+ivs,1.714116
10,'+B+G+S+ivs,1.727735
10,'+B+G+S+ivs,1.522656
10,'+B+G+S+ivs,1.826108
10,'+B+G+S+ivs,1.977707
10,'+B+G+S+ivs,2.98476
11,'-F-G,15.78927
11,'-F-G,23.12277
11,'-F-G,20.45145
11,'-F-G,23.43188
11,'-F-G,14.87828
12,'-F,36.38727
12,'-F,30.00628
12,'-F,29.49656
12,'-F,19.07993
13,'-F+G,33.45936
13,'-F+G,34.47785
13,'-F+G,39.98686
13,'-F+G,39.98835
13,'-F+G,40.96173
13,'-F+G,35.38957
13,'-F+G,34.16446
14,'-F+G+S,32.57567
14,'-F+G+S,53.25828
14,'-F+G+S,35.63395
14,'-F+G+S,42.38518
14,'-F+G+S,30.42906
14,'-F+G+S,35.24981
15,'-F+G+S+ivs,34.97179
15,'-F+G+S+ivs,36.50033
15,'-F+G+S+ivs,34.67039
15,'-F+G+S+ivs,38.19592
15,'-F+G+S+ivs,34.70025
16,'-F+B-G,20.98366
16,'-F+B-G,21.24561
16,'-F+B-G,19.07993
17,'-F+B,32.6621
17,'-F+B,30.76507
17,'-F+B,28.05312
18,'-F+B+G,46.28193
18,'-F+B+G,41.17176
18,'-F+B+G,37.84763
19,'-F+B+G+S,25.36304
19,'-F+B+G+S,37.37706
19,'-F+B+G+S,42.43508
19,'-F+B+G+S,31.32968
19,'-F+B+G+S,34.44466
19,'-F+B+G+S,35.08241
19,'-F+B+G+S,44.0306
19,'-F+B+G+S,40.14516
19,'-F+B+G+S,53.60313
20,'-F+B+G+S+ivs,27.39437
20,'-F+B+G+S+ivs,29.9189
20,'-F+B+G+S+ivs,30.94748
20,'-F+B+G+S+ivs,28.12924
20,'-F+B+G+S+ivs,28.93013
