mixture,binding
1,1.640886
1,1.499139
1,1.966164
1,2.376084
1,2.732456
1,3.392851
1,2.985204
2,0.981715
2,0.969224
2,1.053052
3,0.892515
3,1.077075
3,1.747888
3,1.341192
3,5.148571
3,3.052367
3,2.42E-07
4,1.164302
4,0.975833
4,3.274104
4,5.817166
4,6.466197
4,5.486535
4,3.970956
4,3.376145
4,0.634595
4,0.491202
4,0.500292
5,1.404242
5,1.569797
5,1.645756
5,1.27019
5,2.199255
5,3.409859
5,2.612225
6,1.539918
6,5.19194
6,2.545979
6,2.548966
6,2.116644
6,5.026498
6,5.138244
6,2.622414
7,1.701731
7,1.853485
7,2.15251
7,2.138317
7,2.403126
7,4.042969
7,3.699228
8,3.349711
8,1.345946
8,3.392792
8,2.759213
8,4.46872
8,2.33231
9,0.735556
9,0.767316
9,1.444035
9,1.037707
9,1.515494
9,2.120828
9,3.696718
9,0.859848
9,1.41444
10,0.72355
10,1.76931
10,1.141279
10,1.545703
10,1.529219
10,2.010343
11,15.02953
11,11.39532
11,13.34091
11,10.80714
11,12.18597
11,6.71848
12,10.55829
12,13.1973
12,16.01595
12,13.47046
13,10.35673
13,13.81434
13,12.43678
13,10.86775
13,13.02846
13,12.87679
13,12.66875
13,10.80906
14,13.13038
14,9.238748
14,13.99325
14,11.91892
14,15.82393
14,10.11764
14,10.21803
15,9.038678
15,11.21687
15,13.53437
15,12.77637
16,10.64813
16,10.64727
16,9.970214
17,16.64745
17,16.52971
17,18.14801
18,21.27832
18,31.12433
18,16.53051
18,28.2039
18,18.70801
18,17.77907
18,15.95711
18,12.92387
18,13.07842
19,18.6034
19,11.64464
19,16.25231
19,12.97378
19,9.493744
19,12.16755
19,16.40063
19,9.951464
19,8.44649
20,7.639091
20,7.579827
20,11.24788
20,9.826394
