-G,N,+G,+G +S,+G +S + ivs,+B -G,+B,+B +G,+B +G +S,+B +G +S +ivs,-F -G,-F,-F +G,-F +G +S,-F +G +S +ivs,-F +B -G,-F +B,-F +B +G,-G +B +G +S,-F +B +G +S +ivs
60.68874,100,111.0109,118.2032,128.1265,60.65467,78.8356,108.0235,94.78719,116.2638,68.96761,85.52284,109.9888,114.8269,140.5648,67.9662,79.09979,100.1149,88.39796,104.0006
78.27937,100,167.6128,189.5185,179.0302,94.3011,192.5964,172.9526,167.0167,149.9628,109.1425,123.4163,169.5265,173.4138,171.9133,100.1555,128.0692,134.2453,150.1959,185.3561
52.23211,100,121.3033,127.5658,145.5983,70.16912,90.34133,107.4364,126.773,126.7466,77.35557,92.57627,117.9159,123.8837,134.7383,71.59799,94.91975,97.05794,149.6685,138.2172
68.95555,100,133.1047,141.5366,193.5883,85.23368,101.8667,127.0536,133.5222,130.7528,89.64318,99.76891,119.1349,124.903,149.3764,85.12842,117.3093,91.88426,137.2756,133.7328
