mixture, cytotoxicity
1,1.182898426,0.8025276461
1,-0.00487046438,1.004739336
1,2.050465504,1.004739336
1,0.5466159639,1.194312796
2,1.014804963,1.813586098
2,3.384473209,2.003159558
2,0.2224178734,2.003159558
2,0.457698768,2.192733017
3,0.4512048155,2.849921011
3,-0.1819555539,2.925750395
3,-0.02547627522,3.090047393
3,1.238721441,3.153238547
4,1.074124721,3.81042654
4,2.57422775,4
4,-0.03446790177,4
4,0.2008129929,4.18957346
5,1.617618593,4.808846761
5,2.248156404,4.998420221
5,-0.1233850976,4.998420221
5,0.03284441364,5.187993681
6,0.7381875628,5.807266983
6,-0.2123022935,5.996840442
6,1.684930908,5.996840442
6,0.4181106345,6.199052133
7,1.676938351,6.805687204
7,2.939762346,7.007898894
7,0.6472722277,7.007898894
7,1.277810039,7.197472354
8,1.034161937,7.854660348
8,0.2430236842,7.917851501
8,0.3995029629,8.082148499
8,1.979906212,8.145339652
9,1.261949809,8.802527646
9,-0.08379696408,8.992101106
9,2.445722421,9.004739336
9,0.1513590469,9.194312796
10,-0.01323767242,9.85150079
10,2.83261213,9.85150079
10,-0.01610999756,10.14218009
10,2.039225971,10.14218009
11,19.1862578,10.86255924
11,16.57756215,10.86255924
11,17.76046057,11.15323855
11,18.54972557,11.27962085
12,21.54843302,11.81042654
12,25.42007755,12
12,20.28173763,12
12,20.27986438,12.18957346
13,27.70407558,12.85939968
13,21.7738481,12.99842022
13,31.41811688,12.99842022
13,26.27827835,13.15007899
14,31.56772755,13.85781991
14,32.35686767,13.99684044
14,23.18690719,13.99684044
14,29.82572479,14.14849921
15,21.51833605,14.85624013
15,23.41432041,14.98262243
15,28.3943078,15.00789889
15,23.25459416,15.14691943
16,21.82505042,15.81674566
16,17.39642458,15.99368088
16,21.6650744,16.00631912
16,22.61181774,16.19589258
17,31.53813012,16.85308057
17,21.89236274,17.00473934
17,26.71449712,17.00473934
17,32.16766886,17.14375987
18,32.0025726,17.85150079
18,21.96167319,17.99052133
18,26.94178546,18.00315956
18,33.58072795,18.14218009
19,32.14931095,19.00157978
19,29.22440977,19.00157978
19,25.98330305,19.00157978
19,20.13350068,19.00157978
20,23.20801254,19.86097946
20,20.67699455,20
20,16.645374,20
20,23.83767616,20.13902054
