'-G,Unmodfied,'+G,'+G+S,'+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-F-G,'-F,'-F+G,'-F+G+S,'-F+G+S+ivs,'-F+B-G,'-F+B,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs
1.03E+00,1.64E+00,1.25E+00,1.23E+00,,,9.38E-01,,,,,1.45E+00,,,,,,,,
,,,,1.73E+00,,,,,,,,,,2.05E+00,,1.44E+00,,,2.06E+00
1.92E+00,,2.71E+00,,,1.92E+00,1.45E+00,1.99E+00,2.50E+00,1.95E+00,,,,2.48E+00,,,,,2.44E+00,
,,,2.43E+00,,,,,,,1.39E+00,1.97E+00,,,,1.74E+00,,,,
,,,,,,,,,,,,2.48E+00,,,,,2.24E+00,,
,,,,,,,5.77E-01,,,,,,,4.40E-01,,,,,3.98E-01
,2.42E+00,4.56E-01,,5.52E-01,,5.75E-01,,,,5.62E-01,6.01E-01,,6.60E-01,5.90E-01,,5.64E-01,,4.23E-01,6.50E-01
3.02E-01,,6.14E-01,,3.47E-01,6.66E-01,3.43E-01,6.03E-01,6.00E-01,3.96E-01,2.92E-01,1.36E+00,7.50E-01,,6.27E-01,,2.95E-01,,7.24E-01,7.27E-01
8.09E-01,,,,1.77E+00,4.95E-01,6.14E-01,1.19E+00,,5.92E-01,7.66E-01,,3.73E-01,8.87E-01,,6.23E-01,,4.32E-01,5.35E-01,
,,,7.51E-01,,,,,7.30E-01,5.01E-01,,,8.00E-01,7.69E-01,,5.27E-01,7.70E-01,,,
,,,7.12E-01,,,,,9.07E-01,,,,,,,5.71E-01,,5.18E-01,,
,,,,,,,,,,,,,,,,,3.62E-01,,
,6.59E-01,,,,,,,,,,,,,,,,,,
,6.86E-01,,,,,,,,,,,,,,,,,,
