index,binding,receptor
12,0.931948,Binding FcγRIIa 131H
12,1.000706,Binding FcγRIIa 131H
12,0.568387,Binding FcγRIIa 131H
13,0.962358,Binding FcγRIIa 131H
13,0.849932,Binding FcγRIIa 131H
13,0.756953,Binding FcγRIIa 131H
13,0.84044,Binding FcγRIIa 131H
13,0.876346,Binding FcγRIIa 131H
13,0.732552,Binding FcγRIIa 131H
13,0.646591,Binding FcγRIIa 131H
14,0.728012,Binding FcγRIIa 131H
14,0.958501,Binding FcγRIIa 131H
14,0.802544,Binding FcγRIIa 131H
14,1.063228,Binding FcγRIIa 131H
14,0.580064,Binding FcγRIIa 131H
14,0.560465,Binding FcγRIIa 131H
15,0.629047,Binding FcγRIIa 131H
15,0.668165,Binding FcγRIIa 131H
15,0.818347,Binding FcγRIIa 131H
15,1.017686,Binding FcγRIIa 131H
15,0.745831,Binding FcγRIIa 131H
16,0.599632,Binding FcγRIIa 131H
16,0.625409,Binding FcγRIIa 131H
16,0.568387,Binding FcγRIIa 131H
17,0.924361,Binding FcγRIIa 131H
17,0.926563,Binding FcγRIIa 131H
17,0.828343,Binding FcγRIIa 131H
18,0.989682,Binding FcγRIIa 131H
18,0.959342,Binding FcγRIIa 131H
18,0.833231,Binding FcγRIIa 131H
19,1.377307,Binding FcγRIIa 131H
19,1.009926,Binding FcγRIIa 131H
19,0.758137,Binding FcγRIIa 131H
19,1.052926,Binding FcγRIIa 131H
19,0.791913,Binding FcγRIIa 131H
19,1.174451,Binding FcγRIIa 131H
19,1.108395,Binding FcγRIIa 131H
19,1.40392,Binding FcγRIIa 131H
20,0.583248,Binding FcγRIIa 131H
20,0.73761,Binding FcγRIIa 131H
20,0.950343,Binding FcγRIIa 131H
20,0.884447,Binding FcγRIIa 131H
20,0.652311,Binding FcγRIIa 131H
1,1.050856,Binding FcγRIIa 131R
1,1.140944,Binding FcγRIIa 131R
1,1.501271,Binding FcγRIIa 131R
1,2.015509,Binding FcγRIIa 131R
1,2.261402,Binding FcγRIIa 131R
1,2.346356,Binding FcγRIIa 131R
1,0.873388,Binding FcγRIIa 131R
2,0.778227,Binding FcγRIIa 131R
2,0.475816,Binding FcγRIIa 131R
2,1.045089,Binding FcγRIIa 131R
2,0.907829,Binding FcγRIIa 131R
2,0.816058,Binding FcγRIIa 131R
2,1.75264,Binding FcγRIIa 131R
2,1.679735,Binding FcγRIIa 131R
2,2.190093,Binding FcγRIIa 131R
2,1.414257,Binding FcγRIIa 131R
2,0.874058,Binding FcγRIIa 131R
2,1.037529,Binding FcγRIIa 131R
2,1.149088,Binding FcγRIIa 131R
2,0.978639,Binding FcγRIIa 131R
3,0.70926,Binding FcγRIIa 131R
3,1.015777,Binding FcγRIIa 131R
3,1.810857,Binding FcγRIIa 131R
3,1.179707,Binding FcγRIIa 131R
3,1.458505,Binding FcγRIIa 131R
3,1.507409,Binding FcγRIIa 131R
3,1.587571,Binding FcγRIIa 131R
4,1.142711,Binding FcγRIIa 131R
4,1.216371,Binding FcγRIIa 131R
4,1.073279,Binding FcγRIIa 131R
5,1.454908,Binding FcγRIIa 131R
5,1.458885,Binding FcγRIIa 131R
5,1.195649,Binding FcγRIIa 131R
5,1.618158,Binding FcγRIIa 131R
5,1.303683,Binding FcγRIIa 131R
5,2.104318,Binding FcγRIIa 131R
5,1.046689,Binding FcγRIIa 131R
6,0.935725,Binding FcγRIIa 131R
6,3.720475,Binding FcγRIIa 131R
6,1.480655,Binding FcγRIIa 131R
6,1.648626,Binding FcγRIIa 131R
6,1.52284,Binding FcγRIIa 131R
6,3.086531,Binding FcγRIIa 131R
6,3.199806,Binding FcγRIIa 131R
6,0.937703,Binding FcγRIIa 131R
7,1.49328,Binding FcγRIIa 131R
7,1.657624,Binding FcγRIIa 131R
7,2.037268,Binding FcγRIIa 131R
7,2.131757,Binding FcγRIIa 131R
7,1.909717,Binding FcγRIIa 131R
7,1.136188,Binding FcγRIIa 131R
8,2.360817,Binding FcγRIIa 131R
8,1.178223,Binding FcγRIIa 131R
8,2.10242,Binding FcγRIIa 131R
8,1.812337,Binding FcγRIIa 131R
8,2.863995,Binding FcγRIIa 131R
9,0.795774,Binding FcγRIIa 131R
9,0.911444,Binding FcγRIIa 131R
9,1.104794,Binding FcγRIIa 131R
9,0.693058,Binding FcγRIIa 131R
9,1.226408,Binding FcγRIIa 131R
9,2.041175,Binding FcγRIIa 131R
9,3.401854,Binding FcγRIIa 131R
9,0.990919,Binding FcγRIIa 131R
9,0.990469,Binding FcγRIIa 131R
10,0.71377,Binding FcγRIIa 131R
10,0.856786,Binding FcγRIIa 131R
10,0.77437,Binding FcγRIIa 131R
10,1.102282,Binding FcγRIIa 131R
10,1.452781,Binding FcγRIIa 131R
10,1.536424,Binding FcγRIIa 131R
10,1.200011,Binding FcγRIIa 131R
11,1.16911,Binding FcγRIIa 131R
11,1.696781,Binding FcγRIIa 131R
11,1.930931,Binding FcγRIIa 131R
11,1.630556,Binding FcγRIIa 131R
11,2.146265,Binding FcγRIIa 131R
11,0.818844,Binding FcγRIIa 131R
12,1.39584,Binding FcγRIIa 131R
12,1.652195,Binding FcγRIIa 131R
12,1.655434,Binding FcγRIIa 131R
12,1.077407,Binding FcγRIIa 131R
13,1.134419,Binding FcγRIIa 131R
13,1.119679,Binding FcγRIIa 131R
13,0.966978,Binding FcγRIIa 131R
13,1.074817,Binding FcγRIIa 131R
13,1.168628,Binding FcγRIIa 131R
13,1.124991,Binding FcγRIIa 131R
13,0.774699,Binding FcγRIIa 131R
14,1.813924,Binding FcγRIIa 131R
14,0.918251,Binding FcγRIIa 131R
14,1.229175,Binding FcγRIIa 131R
14,1.118229,Binding FcγRIIa 131R
14,1.538747,Binding FcγRIIa 131R
14,0.686324,Binding FcγRIIa 131R
14,0.693844,Binding FcγRIIa 131R
15,0.799392,Binding FcγRIIa 131R
15,0.877676,Binding FcγRIIa 131R
15,1.127974,Binding FcγRIIa 131R
15,1.510402,Binding FcγRIIa 131R
15,1.279585,Binding FcγRIIa 131R
16,1.157661,Binding FcγRIIa 131R
16,1.195524,Binding FcγRIIa 131R
16,1.077407,Binding FcγRIIa 131R
17,1.766479,Binding FcγRIIa 131R
17,1.719531,Binding FcγRIIa 131R
17,1.502762,Binding FcγRIIa 131R
18,1.463221,Binding FcγRIIa 131R
18,1.421278,Binding FcγRIIa 131R
18,1.277496,Binding FcγRIIa 131R
19,2.003705,Binding FcγRIIa 131R
19,1.489742,Binding FcγRIIa 131R
19,1.155179,Binding FcγRIIa 131R
19,1.594543,Binding FcγRIIa 131R
19,1.168264,Binding FcγRIIa 131R
19,1.693166,Binding FcγRIIa 131R
19,1.531731,Binding FcγRIIa 131R
19,2.043446,Binding FcγRIIa 131R
20,0.781089,Binding FcγRIIa 131R
20,1.052545,Binding FcγRIIa 131R
20,1.484431,Binding FcγRIIa 131R
20,1.292289,Binding FcγRIIa 131R
20,1.075562,Binding FcγRIIa 131R
1,1.267875,Binding FcγRIIb/c
1,2.128275,Binding FcγRIIb/c
1,2.090143,Binding FcγRIIb/c
1,2.825674,Binding FcγRIIb/c
1,2.94268,Binding FcγRIIb/c
1,1.290642,Binding FcγRIIb/c
2,0.923299,Binding FcγRIIb/c
2,0.491438,Binding FcγRIIb/c
2,0.710203,Binding FcγRIIb/c
2,1.934495,Binding FcγRIIb/c
2,1.81566,Binding FcγRIIb/c
2,2.252291,Binding FcγRIIb/c
2,1.039125,Binding FcγRIIb/c
2,0.896397,Binding FcγRIIb/c
2,1.087508,Binding FcγRIIb/c
2,1.031687,Binding FcγRIIb/c
2,1.004417,Binding FcγRIIb/c
3,0.607718,Binding FcγRIIb/c
