mixture,binding
1,1.267875
1,2.128275
1,2.090143
1,2.825674
1,2.94268
1,1.290642
2,0.923299
2,0.491438
2,0.710203
2,1.934495
2,1.81566
2,2.252291
2,1.039125
2,0.896397
2,1.087508
2,1.031687
2,1.004417
3,0.607718
3,2.16866
3,1.037374
3,1.698764
3,1.288836
3,1.063876
4,0.996347
4,1.137369
4,1.019768
5,1.161967
5,1.579454
5,1.259058
5,2.002586
5,0.895061
6,0.642279
6,2.150166
6,1.91433
6,4.845805
7,2.168956
7,2.102291
7,2.258136
7,1.734694
7,1.121438
8,1.857114
8,3.268315
8,1.910205
9,0.958002
9,0.630225
9,1.188611
9,1.836566
9,4.325865
9,1.409598
9,0.70449
10,0.646393
10,1.007029
10,1.320287
10,1.583151
10,1.282871
11,3.25483
11,2.4171
11,2.008212
11,3.251808
11,0.865802
12,1.413432
12,1.733005
12,1.492425
12,1.004773
13,0.871565
13,1.303279
13,1.221299
13,0.59715
14,1.801876
14,0.989843
14,1.143428
14,1.390498
14,0.568862
15,0.824408
15,1.305536
15,1.571701
15,1.453063
16,1.247491
16,1.126815
16,1.004773
17,1.889291
17,1.611461
17,1.452377
18,1.604162
18,1.388312
18,1.324657
19,3.313093
19,1.495689
19,1.038053
19,1.630841
19,0.711296
19,1.762467
19,1.634955
19,2.355303
20,1.00696
20,1.578875
20,1.230888
20,0.759273
